Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2017,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
2017,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
2017,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
2017,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
2017,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
2017,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
2017,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
2018,1,PHO,Deandre Ayton,Arizona,3,173,5378,2784,1847,289,.585,.189,.753,31.1,16.1,10.7,1.7,16.8,.150,0.5,3.3
2018,2,SAC,Marvin Bagley III,Duke,3,114,2907,1655,856,111,.500,.321,.666,25.5,14.5,7.5,1.0,5.1,.085,-2.0,0.0
2018,3,ATL,Luka Dončić,,3,191,6405,4946,1599,1482,.459,.331,.735,33.5,25.9,8.4,7.8,21.1,.158,6.4,13.6
2018,4,MEM,Jaren Jackson Jr.,Michigan State,3,121,3266,1871,567,147,.483,.376,.759,27.0,15.5,4.7,1.2,7.1,.104,0.0,1.6
2018,5,DAL,Trae Young,Oklahoma,3,198,6571,4778,778,1751,.429,.347,.858,33.2,24.1,3.9,8.8,15.5,.113,2.1,6.7
2018,6,ORL,Mo Bamba,Texas,3,150,2243,940,751,108,.478,.336,.637,15.0,6.3,5.0,0.7,5.8,.123,-0.1,1.1
2018,7,CHI,Wendell Carter Jr.,Duke,3,138,3662,1525,1122,228,.512,.250,.749,26.5,11.1,8.1,1.7,8.6,.112,-1.7,0.2
2018,8,CLE,Collin Sexton,Alabama,3,199,6602,3990,603,650,.460,.388,.832,33.2,20.1,3.0,3.3,5.2,.038,-2.4,-0.8
2018,9,NYK,Kevin Knox,Kentucky,3,180,3781,1542,580,161,.369,.344,.703,21.0,8.6,3.2,0.9,-0.6,-.007,-4.8,-2.7
2018,10,PHI,Mikal Bridges,Villanova,3,219,6553,2198,833,441,.491,.367,.823,29.9,10.0,3.8,2.0,14.7,.108,0.5,4.2
2018,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,5782,3050,810,709,.482,.373,.805,30.9,16.3,4.3,3.8,13.1,.108,1.3,4.8
2018,12,LAC,Miles Bridges,Michigan State,3,209,5549,2233,1073,352,.461,.355,.814,26.6,10.7,5.1,1.7,8.7,.075,-1.1,1.2
2018,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.003,-4.8,-1.1
2018,14,DEN,Michael Porter Jr.,Missouri,2,110,2644,1550,673,106,.531,.435,.797,24.0,14.1,6.1,1.0,9.2,.167,2.3,2.9
2018,15,WAS,Troy Brown Jr.,Oregon,3,155,3036,1125,633,287,.432,.330,.754,19.6,7.3,4.1,1.9,3.5,.055,-2.1,-0.1
2018,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
2018,17,MIL,Donte DiVincenzo,Villanova,3,152,3548,1332,712,364,.429,.344,.735,23.3,8.8,4.7,2.4,7.8,.106,0.1,1.9
2018,18,SAS,Lonnie Walker,Miami (FL),3,130,2415,1013,286,159,.420,.376,.770,18.6,7.8,2.2,1.2,0.9,.017,-3.6,-1.0
2018,19,ATL,Kevin Huerter,Maryland,3,195,5794,2185,685,652,.423,.376,.786,29.7,11.2,3.5,3.3,6.4,.053,-1.5,0.8
2018,20,MIN,Josh Okogie,Georgia Tech,3,188,4394,1393,626,248,.403,.274,.775,23.4,7.4,3.3,1.3,4.6,.050,-3.0,-1.1
2018,21,UTA,Grayson Allen,Duke,3,125,2387,1071,268,185,.423,.381,.830,19.1,8.6,2.1,1.5,3.9,.078,-1.7,0.2
2018,22,CHI,Chandler Hutchison,Boise State,3,90,1668,527,351,75,.448,.298,.626,18.5,5.9,3.9,0.8,1.1,.033,-3.9,-0.8
2018,23,IND,Aaron Holiday,UCLA,3,178,3341,1369,303,420,.405,.375,.832,18.8,7.7,1.7,2.4,3.3,.048,-2.4,-0.3
2018,24,POR,Anfernee Simons,,3,147,2544,1114,286,192,.410,.383,.786,17.3,7.6,1.9,1.3,1.9,.036,-3.1,-0.7
2018,25,LAL,Moritz Wagner,Michigan,3,126,1829,830,414,123,.484,.305,.808,14.5,6.6,3.3,1.0,2.8,.075,-2.8,-0.4
2018,26,PHI,Landry Shamet,Wichita State,3,186,4474,1733,335,300,.419,.399,.838,24.1,9.3,1.8,1.6,7.9,.085,-2.0,0.1
2018,27,BOS,Robert Williams,Texas A&M,3,111,1624,636,559,125,.718,.000,.633,14.6,5.7,5.0,1.1,8.4,.248,5.2,2.9
2018,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
2018,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
2018,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
2018,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
2018,32,MEM,Jevon Carter,West Virginia,3,149,2120,661,261,213,.381,.378,.800,14.2,4.4,1.8,1.4,3.1,.071,-0.6,0.8
2018,33,DAL,Jalen Brunson,Villanova,3,190,4126,1892,515,624,.486,.364,.772,21.7,10.0,2.7,3.3,9.0,.104,-0.8,1.3
2018,34,ATL,Devonte' Graham,Kansas,3,160,4418,2102,412,867,.375,.363,.814,27.6,13.1,2.6,5.4,6.8,.074,-0.3,1.8
2018,35,ORL,Melvin Frazier,Tulane,2,29,170,55,15,4,.400,.364,.375,5.9,1.9,0.5,0.1,0.0,.008,-5.4,-0.2
2018,36,NYK,Mitchell Robinson,,3,158,3625,1331,1103,90,.705,,.568,22.9,8.4,7.0,0.6,16.3,.216,2.3,3.9
2018,37,SAC,Gary Trent Jr.,Duke,3,131,3142,1417,250,143,.422,.395,.776,24.0,10.8,1.9,1.1,3.9,.060,-1.9,0.1
2018,38,PHI,Khyri Thomas,Creighton,2,34,256,78,21,11,.314,.306,.600,7.5,2.3,0.6,0.3,0.0,-.005,-5.7,-0.2
2018,39,PHI,Isaac Bonga,,3,127,1796,427,313,113,.441,.304,.769,14.1,3.4,2.5,0.9,1.6,.044,-3.8,-0.8
2018,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
2018,41,ORL,Jarred Vanderbilt,Kentucky,3,85,1092,329,346,77,.588,.167,.574,12.8,3.9,4.1,0.9,2.5,.110,-1.3,0.2
2018,42,DET,Bruce Brown,Miami (FL),3,190,4361,1336,757,411,.464,.299,.740,23.0,7.0,4.0,2.2,7.2,.079,-1.8,0.2
2018,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
2018,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
2018,45,BRK,Hamidou Diallo,Kentucky,3,146,2543,1044,512,149,.459,.289,.628,17.4,7.2,3.5,1.0,2.6,.048,-3.4,-0.9
2018,46,HOU,De'Anthony Melton,USC,3,154,3044,1128,498,449,.415,.352,.769,19.8,7.3,3.2,2.9,4.0,.063,-0.1,1.4
2018,47,LAL,Sviatoslav Mykhailiuk,Kansas,3,159,2913,1125,291,241,.397,.364,.768,18.3,7.1,1.8,1.5,1.7,.028,-2.9,-0.7
2018,48,MIN,Keita Bates-Diop,Ohio State,3,98,1417,491,242,56,.423,.304,.692,14.5,5.0,2.5,0.6,1.8,.062,-2.2,0.0
2018,49,SAS,Chimezie Metu,USC,3,77,582,269,148,44,.491,.238,.730,7.6,3.5,1.9,0.6,0.5,.041,-3.7,-0.2
2018,50,IND,Alize Johnson,Missouri State,3,46,363,139,156,22,.500,.313,.774,7.9,3.0,3.4,0.5,1.2,.158,-0.2,0.2
2018,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
2018,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
2018,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.4,-0.1
2018,54,DAL,Shake Milton,SMU,3,117,2403,1210,253,293,.454,.379,.817,20.5,10.3,2.2,2.5,4.9,.098,-2.0,0.0
2018,55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,,,,
2018,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.025,-5.7,-0.2
2018,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
2018,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
2018,59,PHO,George King,Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-7.9,0.0
2018,60,PHI,Kostas Antetokounmpo,Dayton,3,21,84,21,23,3,.375,,.474,4.0,1.0,1.1,0.1,-0.1,-.086,-9.4,-0.2
2019,1,NOP,Zion Williamson,Duke,2,84,2657,2164,579,269,.606,.333,.681,31.6,25.8,6.9,3.2,10.6,.192,4.6,4.4
2019,2,MEM,Ja Morant,Murray State,2,123,3876,2264,477,895,.464,.315,.758,31.5,18.4,3.9,7.3,6.8,.084,-0.1,1.8
2019,3,NYK,RJ Barrett,Duke,2,121,3963,1949,654,339,.428,.362,.678,32.8,16.1,5.4,2.8,3.4,.041,-2.7,-0.7
