player,college,Team,Year,Player_URL,HS
Jason Terry,Arizona,BRK,2014,https://www.basketball-reference.com/players/t/terryja01.html,"Franklin in Seattle, Washington|"
Jason Terry,Arizona,BRK,2014,https://www.basketball-reference.com/players/t/terryja01.html,"Franklin in Seattle, Washington|"
Marcus Thornton,LSU,BRK,2014,https://www.basketball-reference.com/players/t/thornma01.html,"Tara in Baton Rouge, Louisiana|"
Marcus Thornton,LSU,BRK,2014,https://www.basketball-reference.com/players/t/thornma01.html,"Tara in Baton Rouge, Louisiana|"
Marcus Thornton,LSU,BRK,2014,https://www.basketball-reference.com/players/t/thornma01.html,"Tara in Baton Rouge, Louisiana|"
Marcus Thornton,LSU,BRK,2014,https://www.basketball-reference.com/players/t/thornma01.html,"Tara in Baton Rouge, Louisiana|"
Marcus Thornton,LSU,BRK,2014,https://www.basketball-reference.com/players/t/thornma01.html,"Tara in Baton Rouge, Louisiana|"
Deron Williams,Illinois,BRK,2014,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2014,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2014,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2014,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Deron Williams,Illinois,BRK,2014,https://www.basketball-reference.com/players/w/willide01.html,"The Colony in The Colony, Texas|"
Alan Anderson,Michigan State,BRK,2015,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2015,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2015,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2015,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Alan Anderson,Michigan State,BRK,2015,https://www.basketball-reference.com/players/a/anderal01.html,"DeLaSalle in Minneapolis, Minnesota|"
Bojan Bogdanović,,BRK,2015,https://www.basketball-reference.com/players/b/bogdabo02.html,NA||
Bojan Bogdanović,,BRK,2015,https://www.basketball-reference.com/players/b/bogdabo02.html,NA||
Bojan Bogdanović,,BRK,2015,https://www.basketball-reference.com/players/b/bogdabo02.html,NA||
Bojan Bogdanović,,BRK,2015,https://www.basketball-reference.com/players/b/bogdabo02.html,NA||
Bojan Bogdanović,,BRK,2015,https://www.basketball-reference.com/players/b/bogdabo02.html,NA||
Markel Brown,Oklahoma State,BRK,2015,https://www.basketball-reference.com/players/b/brownma02.html,"Peabody Magnet in Alexandria, Louisiana|"
