Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Player_URL,Img_URL,HS
2009,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6,https://www.basketball-reference.com/players/w/willite01.html,https://www.basketball-reference.com/req/202103225/images/players/willite01.jpg,"Rainier Beach in Seattle, Washington|"
2009,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6,https://www.basketball-reference.com/players/h/hendege02.html,https://www.basketball-reference.com/req/202103225/images/players/hendege02.jpg,"The Episcopal Academy in Newtown Square, Pennsylvania|"
2009,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0,https://www.basketball-reference.com/players/h/hansbty01.html,https://www.basketball-reference.com/req/202103225/images/players/hansbty01.jpg,"Poplar Bluff in Poplar Bluff, Missouri|"
2009,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8,https://www.basketball-reference.com/players/c/clarkea01.html,https://www.basketball-reference.com/req/202103225/images/players/clarkea01.jpg,"Rahway in Rahway, New Jersey|"
2009,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0,https://www.basketball-reference.com/players/d/dayeau01.html,https://www.basketball-reference.com/req/202103225/images/players/dayeau01.jpg,"Woodbridge in Irvine, California|"
2009,16,CHI,James Johnson,Wake Forest,12,680,14000,5369,2436,1440,.475,.304,.689,20.6,7.9,3.6,2.1,25.7,.088,0.7,9.5,https://www.basketball-reference.com/players/j/johnsja01.html,https://www.basketball-reference.com/req/202103225/images/players/johnsja01.jpg,"Cheyenne East in Cheyenne, Wyoming|"
2009,17,PHI,Jrue Holiday,UCLA,12,768,25477,12286,3045,4884,.456,.358,.777,33.2,16.0,4.0,6.4,49.0,.092,1.4,21.5,https://www.basketball-reference.com/players/h/holidjr01.html,https://www.basketball-reference.com/req/202103225/images/players/holidjr01.jpg,"Campbell Hall in North Hollywood, California|"
2009,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6,https://www.basketball-reference.com/players/l/lawsoty01.html,https://www.basketball-reference.com/req/202103225/images/players/lawsoty01.jpg,"Bishop McNamara in Forestville, Maryland|Oak Hill Academy in Mouth of Wilson, Virginia|"
2009,19,ATL,Jeff Teague,Wake Forest,12,822,22105,10024,1984,4576,.444,.358,.844,26.9,12.2,2.4,5.6,52.2,.113,0.6,14.3,https://www.basketball-reference.com/players/t/teaguje01.html,https://www.basketball-reference.com/req/202103225/images/players/teaguje01.jpg,"Pike in Indianapolis, Indiana|"
2009,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8,https://www.basketball-reference.com/players/m/maynoer01.html,https://www.basketball-reference.com/req/202103225/images/players/maynoer01.jpg,"Westover in Fayetteville, North Carolina|"
2009,21,NOH,Darren Collison,UCLA,10,708,20796,8857,1885,3543,.471,.394,.853,29.4,12.5,2.7,5.0,49.9,.115,0.6,13.5,https://www.basketball-reference.com/players/c/collida01.html,https://www.basketball-reference.com/req/202103225/images/players/collida01.jpg,"Etiwanda in Rancho Cucamonga, California|"
2009,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8,https://www.basketball-reference.com/players/m/mulleby01.html,https://www.basketball-reference.com/req/202103225/images/players/mulleby01.jpg,"Canal Winchester in Canal Winchester, Ohio|"
2009,26,CHI,Taj Gibson,USC,12,839,20924,7829,5219,843,.518,.218,.709,24.9,9.3,6.2,1.0,55.6,.128,-0.7,7.0,https://www.basketball-reference.com/players/g/gibsota01.html,https://www.basketball-reference.com/req/202103225/images/players/gibsota01.jpg,"Calvary Christian in San Fernando, California|"
2009,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7,https://www.basketball-reference.com/players/c/carrode01.html,https://www.basketball-reference.com/req/202103225/images/players/carrode01.jpg,"John Carroll in Birmingham, Alabama|"
2009,28,MIN,Wayne Ellington,UNC,12,727,15290,5903,1566,822,.410,.382,.843,21.0,8.1,2.2,1.1,20.1,.063,-1.5,2.0,https://www.basketball-reference.com/players/e/ellinwa01.html,https://www.basketball-reference.com/req/202103225/images/players/ellinwa01.jpg,"Daniel Boone in Reading, Pennsylvania|The Episcopal Academy in Newtown Square, Pennsylvania|"
2009,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2,https://www.basketball-reference.com/players/d/douglto01.html,https://www.basketball-reference.com/req/202103225/images/players/douglto01.jpg,"Jonesboro in Jonesboro, Georgia|"
2009,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2,https://www.basketball-reference.com/players/p/pendeje02.html,https://www.basketball-reference.com/req/202103225/images/players/pendeje02.jpg,"Etiwanda in Rancho Cucamonga, California|"
